"","metric","Threshold70","Threshold90","Threshold99","n","Type","Biol","Bio_endpoint","Bio_threshold","Hydro_endpoint"
"1","CSCI_DS_Dur_WS_0.63_Positive",72.9570247755045,30.0913751561875,3.54143310680222,144,"Positive","CSCI","CSCI",0.63,"DS_Dur_WS"
"2","CSCI_DS_Mag_50_0.63_Positive",2.62042229398776,3.66618487124048,4.20293336182405,269,"Positive","CSCI","CSCI",0.63,"DS_Mag_50"
"3","CSCI_DS_Mag_90_0.63_Positive",15.4814370737142,5.42779687822464,0.57539189320533,245,"Positive","CSCI","CSCI",0.63,"DS_Mag_90"
"4","CSCI_DS_Tim_0.63_Positive",25.0167837198361,10.5586241646952,1.26237403813755,165,"Positive","CSCI","CSCI",0.63,"DS_Tim"
"5","CSCI_FA_Dur_0.63_Positive",1.95963445599131,0.763577112511188,0.0809540652479576,26,"Positive","CSCI","CSCI",0.63,"FA_Dur"
"6","CSCI_FA_Mag_0.63_Positive",315.448171512578,110.691018663409,11.5140657666183,41,"Positive","CSCI","CSCI",0.63,"FA_Mag"
"7","CSCI_FA_Tim_0.63_Positive",0.6,0.2,0.02,17,"Positive","CSCI","CSCI",0.63,"FA_Tim"
"8","CSCI_Q99_0.63_Positive",570.703448026605,202.04400915208,21.131363071782,315,"Positive","CSCI","CSCI",0.63,"Q99"
"9","CSCI_SP_Dur_0.63_Positive",30.7161338443505,13.2460952301511,1.4600516714204,158,"Positive","CSCI","CSCI",0.63,"SP_Dur"
"10","CSCI_SP_Mag_0.63_Positive",665.398582296072,231.694952230312,23.8939061510902,277,"Positive","CSCI","CSCI",0.63,"SP_Mag"
"11","CSCI_SP_ROC_0.63_Positive",0.109225561022776,0.0393052805442988,0.00413820217718391,214,"Positive","CSCI","CSCI",0.63,"SP_ROC"
"12","CSCI_SP_Tim_0.63_Positive",21.2760543547689,8.73134828448358,1.01876192629122,307,"Positive","CSCI","CSCI",0.63,"SP_Tim"
"13","CSCI_Wet_BFL_Dur_0.63_Positive",35.2095849317019,14.0200426288112,1.60264597425231,303,"Positive","CSCI","CSCI",0.63,"Wet_BFL_Dur"
"14","CSCI_Wet_BFL_Mag_10_0.63_Positive",0.677448438004467,0.227898530853049,0.0228825299552361,197,"Positive","CSCI","CSCI",0.63,"Wet_BFL_Mag_10"
"15","CSCI_Wet_BFL_Mag_50_0.63_Positive",176.579615217018,63.799676347328,7.01393827385758,207,"Positive","CSCI","CSCI",0.63,"Wet_BFL_Mag_50"
"16","CSCI_Wet_Tim_0.63_Positive",10.27438148912,4.64698601758988,0.597938000555744,151,"Positive","CSCI","CSCI",0.63,"Wet_Tim"
"17","CSCI_DS_Dur_WS_0.79_Positive",21.3677131019996,7.90188686956224,0.857835476865465,144,"Positive","CSCI","CSCI",0.79,"DS_Dur_WS"
"18","CSCI_DS_Mag_50_0.79_Positive",2.97892988052205,3.83455359577368,4.21977023427737,269,"Positive","CSCI","CSCI",0.79,"DS_Mag_50"
"19","CSCI_DS_Mag_90_0.79_Positive",5.7247937470313,1.75165170245474,0.173960292869247,245,"Positive","CSCI","CSCI",0.79,"DS_Mag_90"
"20","CSCI_DS_Tim_0.79_Positive",8.75875765414226,3.09805070734992,0.328318631297322,165,"Positive","CSCI","CSCI",0.79,"DS_Tim"
"21","CSCI_FA_Dur_0.79_Positive",1.71874014326021,0.57671537424434,0.0577949195152086,26,"Positive","CSCI","CSCI",0.79,"FA_Dur"
"22","CSCI_FA_Mag_0.79_Positive",44.1575889326049,14.3176454687482,1.46879572394708,41,"Positive","CSCI","CSCI",0.79,"FA_Mag"
"23","CSCI_FA_Tim_0.79_Positive",0.6,0.2,0.02,17,"Positive","CSCI","CSCI",0.79,"FA_Tim"
"24","CSCI_Q99_0.79_Positive",119.49289227411,38.7006015397905,3.85515413909544,315,"Positive","CSCI","CSCI",0.79,"Q99"
"25","CSCI_SP_Dur_0.79_Positive",19.2858957098013,6.92715346374734,0.738037669541469,158,"Positive","CSCI","CSCI",0.79,"SP_Dur"
"26","CSCI_SP_Mag_0.79_Positive",146.374349214644,46.9660603140947,4.65633926066678,277,"Positive","CSCI","CSCI",0.79,"SP_Mag"
"27","CSCI_SP_ROC_0.79_Positive",0.0377263431047348,0.0122973393759692,0.00122934456133216,214,"Positive","CSCI","CSCI",0.79,"SP_ROC"
"28","CSCI_SP_Tim_0.79_Positive",8.78488375425264,2.97986149972944,0.313897277049404,307,"Positive","CSCI","CSCI",0.79,"SP_Tim"
"29","CSCI_Wet_BFL_Dur_0.79_Positive",13.6349448978056,4.7406861810661,0.491869245820557,303,"Positive","CSCI","CSCI",0.79,"Wet_BFL_Dur"
"30","CSCI_Wet_BFL_Mag_10_0.79_Positive",0.653166546180614,0.221348179047508,0.0223694738228628,197,"Positive","CSCI","CSCI",0.79,"Wet_BFL_Mag_10"
"31","CSCI_Wet_BFL_Mag_50_0.79_Positive",4.72856527937513,1.40465290960878,0.146046734937846,207,"Positive","CSCI","CSCI",0.79,"Wet_BFL_Mag_50"
"32","CSCI_Wet_Tim_0.79_Positive",2.9068444151612,1.09155694764891,0.115845764118186,151,"Positive","CSCI","CSCI",0.79,"Wet_Tim"
"33","CSCI_DS_Dur_WS_0.92_Positive",2.36580881020132,0.774320901180698,0.0774547105695546,144,"Positive","CSCI","CSCI",0.92,"DS_Dur_WS"
"34","CSCI_DS_Mag_50_0.92_Positive",0.0587688476197466,0.0182408736651222,0.00177934624467043,269,"Positive","CSCI","CSCI",0.92,"DS_Mag_50"
"35","CSCI_DS_Mag_90_0.92_Positive",0.172746145938769,0.0536038328021654,0.0052344949339102,245,"Positive","CSCI","CSCI",0.92,"DS_Mag_90"
"36","CSCI_DS_Tim_0.92_Positive",2.89994560514854,0.915605559066129,0.0912479498604593,165,"Positive","CSCI","CSCI",0.92,"DS_Tim"
"37","CSCI_FA_Dur_0.92_Positive",1.28831545019353,0.417944899750254,0.0417944899750255,26,"Positive","CSCI","CSCI",0.92,"FA_Dur"
"38","CSCI_FA_Mag_0.92_Positive",2.41712759643916,0.814719850429256,0.121004280444349,41,"Positive","CSCI","CSCI",0.92,"FA_Mag"
"39","CSCI_FA_Tim_0.92_Positive",0.6,0.2,0.02,17,"Positive","CSCI","CSCI",0.92,"FA_Tim"
"40","CSCI_Q99_0.92_Positive",5.64741294094688,1.79305016394969,0.176948231544073,315,"Positive","CSCI","CSCI",0.92,"Q99"
"41","CSCI_SP_Dur_0.92_Positive",11.1401288219182,3.68123586848761,0.359882946243097,158,"Positive","CSCI","CSCI",0.92,"SP_Dur"
"42","CSCI_SP_Mag_0.92_Positive",12.798621785766,3.98029977344501,0.388597609851444,277,"Positive","CSCI","CSCI",0.92,"SP_Mag"
"43","CSCI_SP_ROC_0.92_Positive",0.0153366882862723,0.00474398453262276,0.000462895815042674,214,"Positive","CSCI","CSCI",0.92,"SP_ROC"
"44","CSCI_SP_Tim_0.92_Positive",4.9511274077416,1.54671328236643,0.147314255747399,307,"Positive","CSCI","CSCI",0.92,"SP_Tim"
"45","CSCI_Wet_BFL_Dur_0.92_Positive",5.93556082145243,1.91345581597827,0.190493169824003,303,"Positive","CSCI","CSCI",0.92,"Wet_BFL_Dur"
"46","CSCI_Wet_BFL_Mag_10_0.92_Positive",0.526174407993735,0.169354484198868,0.0167209122050988,197,"Positive","CSCI","CSCI",0.92,"Wet_BFL_Mag_10"
"47","CSCI_Wet_BFL_Mag_50_0.92_Positive",6.3108718814637,1.77967124278617,0.171248257035133,207,"Positive","CSCI","CSCI",0.92,"Wet_BFL_Mag_50"
"48","CSCI_Wet_Tim_0.92_Positive",1.5070957301501,0.494932209214325,0.0494932209214325,151,"Positive","CSCI","CSCI",0.92,"Wet_Tim"
"49","CSCI_DS_Dur_WS_0.63_Negative",-62.4642686206128,-23.0980855539718,-2.89672979516889,230,"Negative","CSCI","CSCI",0.63,"DS_Dur_WS"
"50","CSCI_DS_Mag_50_0.63_Negative",-5.39802614612063,-1.98135980229882,-0.212663490987248,151,"Negative","CSCI","CSCI",0.63,"DS_Mag_50"
"51","CSCI_DS_Mag_90_0.63_Negative",-7.85695490563847,-2.90374798310163,-0.31430524077287,175,"Negative","CSCI","CSCI",0.63,"DS_Mag_90"
"52","CSCI_DS_Tim_0.63_Negative",-74.7585791345059,-28.0066494688055,-3.46799047046255,250,"Negative","CSCI","CSCI",0.63,"DS_Tim"
"53","CSCI_FA_Dur_0.63_Negative",-5.6272569357257,-2.31377890354905,-0.686544700219092,22,"Negative","CSCI","CSCI",0.63,"FA_Dur"
"54","CSCI_FA_Mag_0.63_Negative",-17.3834475103625,-6.22257229077692,-0.844643154216842,7,"Negative","CSCI","CSCI",0.63,"FA_Mag"
"55","CSCI_FA_Tim_0.63_Negative",-18.2020075656664,-6.61880995419018,-1.13588066999301,31,"Negative","CSCI","CSCI",0.63,"FA_Tim"
"56","CSCI_Q99_0.63_Negative",-0.022489626779004,-0.00759149318327115,-0.000763520793723938,105,"Negative","CSCI","CSCI",0.63,"Q99"
"57","CSCI_SP_Dur_0.63_Negative",-47.2692934857247,-18.2293545724858,-2.43696247900152,251,"Negative","CSCI","CSCI",0.63,"SP_Dur"
"58","CSCI_SP_Mag_0.63_Negative",-7.24122776714191,-2.93344405716523,-0.373578045192001,138,"Negative","CSCI","CSCI",0.63,"SP_Mag"
"59","CSCI_SP_ROC_0.63_Negative",-0.263806785904801,-0.0915066364660816,-0.00935441616898502,206,"Negative","CSCI","CSCI",0.63,"SP_ROC"
"60","CSCI_SP_Tim_0.63_Negative",-44.945820787498,-15.7023004563393,-2.04204362515138,102,"Negative","CSCI","CSCI",0.63,"SP_Tim"
"61","CSCI_Wet_BFL_Dur_0.63_Negative",-34.5336089359461,-12.0116759644884,-1.65857005657861,106,"Negative","CSCI","CSCI",0.63,"Wet_BFL_Dur"
"62","CSCI_Wet_BFL_Mag_10_0.63_Negative",-23.9650701132687,-8.29537412787242,-0.846091693564017,223,"Negative","CSCI","CSCI",0.63,"Wet_BFL_Mag_10"
"63","CSCI_Wet_BFL_Mag_50_0.63_Negative",-267.190601752355,-89.6810208289147,-9.01061079639726,213,"Negative","CSCI","CSCI",0.63,"Wet_BFL_Mag_50"
